"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 15:34:35 GMT 2024","Fri Jun 14 15:34:36 GMT 2024","1028","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 15:34:23 GMT 2024","Fri Jun 14 15:34:23 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 15:34:44 GMT 2024","Fri Jun 14 15:34:44 GMT 2024","48","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 15:34:36 GMT 2024","Fri Jun 14 15:34:37 GMT 2024","689","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 15:34:38 GMT 2024","Fri Jun 14 15:34:39 GMT 2024","695","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 15:34:24 GMT 2024","Fri Jun 14 15:34:24 GMT 2024","24","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 15:34:24 GMT 2024","Fri Jun 14 15:34:24 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 15:34:23 GMT 2024","Fri Jun 14 15:34:23 GMT 2024","26","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 15:34:24 GMT 2024","Fri Jun 14 15:34:24 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 15:34:23 GMT 2024","Fri Jun 14 15:34:23 GMT 2024","333","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 15:34:45 GMT 2024","Fri Jun 14 15:34:45 GMT 2024","684","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 15:34:40 GMT 2024","Fri Jun 14 15:34:43 GMT 2024","2501","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 15:34:23 GMT 2024","Fri Jun 14 15:34:24 GMT 2024","368","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 15:34:47 GMT 2024","Fri Jun 14 15:34:48 GMT 2024","860","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 15:34:22 GMT 2024","Fri Jun 14 15:34:23 GMT 2024","818","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 15:34:25 GMT 2024","Fri Jun 14 15:34:25 GMT 2024","10","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 15:34:46 GMT 2024","Fri Jun 14 15:34:47 GMT 2024","685","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 15:34:24 GMT 2024","Fri Jun 14 15:34:24 GMT 2024","45","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 15:34:25 GMT 2024","Fri Jun 14 15:34:25 GMT 2024","10","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 15:34:49 GMT 2024","Fri Jun 14 15:34:49 GMT 2024","49","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
